Date,Open,High,Low,Close,Adj Close,Volume
2012-01-03,0.327805,0.330097,0.321157,0.321845,0.321845,468044000
2012-01-04,0.322074,0.326888,0.319094,0.325513,0.325513,347372000
2012-01-05,0.323908,0.338808,0.322533,0.337204,0.337204,563548000
2012-01-06,0.336974,0.337204,0.329410,0.333307,0.333307,533252000
2012-01-09,0.333536,0.339725,0.331014,0.333307,0.333307,508244000
2012-01-10,0.338350,0.338579,0.329639,0.331931,0.331931,546328000
2012-01-11,0.328951,0.331931,0.323908,0.325283,0.325283,484272000
2012-01-12,0.325971,0.326200,0.316114,0.323220,0.323220,652364000
2012-01-13,0.320928,0.321616,0.313134,0.314739,0.314739,504300000
2012-01-17,0.319553,0.319553,0.309466,0.309925,0.309925,627176000
2012-01-18,0.315885,0.322991,0.314280,0.320470,0.320470,632676000
2012-01-19,0.323220,0.329410,0.319782,0.328951,0.328951,608312000
2012-01-20,0.328493,0.332390,0.324825,0.325971,0.325971,546272000
2012-01-23,0.326200,0.335141,0.322074,0.334911,0.334911,562792000
2012-01-24,0.332619,0.343851,0.332390,0.342476,0.342476,730920000
2012-01-25,0.333307,0.341330,0.323679,0.340413,0.340413,1274152000
2012-01-26,0.345456,0.349353,0.335370,0.337204,0.337204,799672000
2012-01-27,0.335141,0.343622,0.332390,0.341788,0.341788,449996000
2012-01-30,0.335828,0.340871,0.330785,0.339267,0.339267,399076000
2012-01-31,0.340184,0.340413,0.332619,0.338579,0.338579,357900000
2012-02-01,0.342476,0.346144,0.337662,0.342247,0.342247,428020000
2012-02-02,0.344081,0.356459,0.340642,0.355084,0.355084,696236000
2012-02-03,0.360356,0.365629,0.359669,0.362649,0.362649,495232000
2012-02-06,0.360815,0.361273,0.356688,0.359898,0.359898,278868000
2012-02-07,0.360356,0.362878,0.354396,0.360815,0.360815,410296000
2012-02-08,0.360815,0.380987,0.358981,0.373881,0.373881,847612000
2012-02-09,0.378466,0.380529,0.372964,0.373652,0.373652,561944000
2012-02-10,0.369984,0.371360,0.362419,0.364483,0.364483,440268000
2012-02-13,0.373652,0.375027,0.362649,0.370213,0.370213,610668000
2012-02-14,0.370213,0.375486,0.367004,0.372276,0.372276,453756000
2012-02-15,0.375715,0.387406,0.369755,0.370672,0.370672,1110856000
